,productID,reviewerID,vote,rating,date,helpfulness_votes,total_votes,helpfulness_rating,category,brand,title,year,month,month year
437,B00000DMAT,A1LBAC84TLIGAX,"[3, 3]",5,2007-12-12,3,3,100.0,Nintendo 64 Games,,GoldenEye 007,2007,12,2007-12
439,B00000DMAT,AMP7TQRWAIE84,"[1, 1]",4,2009-05-31,1,1,100.0,Nintendo 64 Games,,GoldenEye 007,2009,5,2009-05
440,B00000DMAT,A1G0VFQ9198IUF,"[2, 2]",5,2012-07-30,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2012,7,2012-07
441,B00000DMAT,A2N1C9JKI2C5XD,"[0, 0]",4,2002-07-28,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,7,2002-07
443,B00000DMAT,A1AR8HYZ17T5H7,"[0, 0]",5,2002-04-10,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,4,2002-04
444,B00000DMAT,A14F106N1M9AAQ,"[2, 2]",5,2004-02-03,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2004,2,2004-02
445,B00000DMAT,A2YAABMT80RLYA,"[0, 0]",5,2002-02-14,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,2,2002-02
446,B00000DMAT,A2QHYLI6Q4PL14,"[0, 0]",5,2001-07-25,0,0,,Nintendo 64 Games,,GoldenEye 007,2001,7,2001-07
448,B00000DMAT,A36UKFV79879MD,"[5, 5]",5,2010-08-24,5,5,100.0,Nintendo 64 Games,,GoldenEye 007,2010,8,2010-08
450,B00000DMAT,A37HCSGGRH8UO6,"[5, 6]",5,2003-06-12,5,6,83.0,Nintendo 64 Games,,GoldenEye 007,2003,6,2003-06
453,B00000DMAT,A1Z1DI1O6FWC57,"[0, 0]",3,2014-06-29,0,0,,Nintendo 64 Games,,GoldenEye 007,2014,6,2014-06
454,B00000DMAT,A15UA9II7PFZ2J,"[0, 1]",5,2000-12-14,0,1,,Nintendo 64 Games,,GoldenEye 007,2000,12,2000-12
458,B00000DMAT,AWG2O9C42XW5G,"[0, 0]",4,2007-07-02,0,0,,Nintendo 64 Games,,GoldenEye 007,2007,7,2007-07
459,B00000DMAT,A1JYATWK5TZ089,"[2, 2]",5,2012-06-29,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2012,6,2012-06
460,B00000DMAT,A20DZX38KRBIT8,"[1, 2]",5,2010-02-24,1,2,50.0,Nintendo 64 Games,,GoldenEye 007,2010,2,2010-02
461,B00000DMAT,AS09CJ2GLNXNV,"[0, 0]",5,2002-09-17,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,9,2002-09
462,B00000DMAT,A9L4AQU51UF2D,"[3, 3]",5,2005-12-06,3,3,100.0,Nintendo 64 Games,,GoldenEye 007,2005,12,2005-12
463,B00000DMAT,A1TJIJKKN15KR9,"[2, 2]",5,2002-12-31,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2002,12,2002-12
464,B00000DMAT,A138826JMC0J3T,"[0, 0]",5,2002-10-30,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,10,2002-10
465,B00000DMAT,A22YCFK2DRZTIV,"[2, 2]",5,2010-07-21,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2010,7,2010-07
467,B00000DMAT,A8ZTL1LDCI30X,"[0, 0]",5,2001-06-20,0,0,,Nintendo 64 Games,,GoldenEye 007,2001,6,2001-06
469,B00000DMAT,A1U4TQ0MPFWHPX,"[2, 2]",5,2012-09-09,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2012,9,2012-09
471,B00000DMAT,A330K1NZBFVCO2,"[2, 2]",5,2006-05-08,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2006,5,2006-05
472,B00000DMAT,A10XUQ4D8N0DOM,"[0, 0]",4,2001-09-01,0,0,,Nintendo 64 Games,,GoldenEye 007,2001,9,2001-09
473,B00000DMAT,A308XYC471BOAJ,"[0, 1]",5,2013-11-26,0,1,,Nintendo 64 Games,,GoldenEye 007,2013,11,2013-11
478,B00000DMAT,A6VFFRIHAXKRL,"[0, 0]",5,2009-12-21,0,0,,Nintendo 64 Games,,GoldenEye 007,2009,12,2009-12
479,B00000DMAT,A25RN8X70DSZLU,"[0, 0]",5,2012-02-21,0,0,,Nintendo 64 Games,,GoldenEye 007,2012,2,2012-02
481,B00000DMAT,A3JX74J0LE924A,"[0, 0]",5,2002-07-18,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,7,2002-07
483,B00000DMAT,A370Z6I5GBWU44,"[1, 1]",4,2010-10-20,1,1,100.0,Nintendo 64 Games,,GoldenEye 007,2010,10,2010-10
484,B00000DMAT,A1D2ZN57YG2NMH,"[0, 0]",5,2006-05-09,0,0,,Nintendo 64 Games,,GoldenEye 007,2006,5,2006-05
486,B00000DMAT,ANAYSRE3LX8GZ,"[2, 2]",5,2005-03-19,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2005,3,2005-03
490,B00000DMAT,A2QH5NMHW1KTJ1,"[0, 1]",5,2004-04-14,0,1,,Nintendo 64 Games,,GoldenEye 007,2004,4,2004-04
493,B00000DMAT,AD0J5KK4WQXNS,"[3, 4]",5,2005-03-22,3,4,75.0,Nintendo 64 Games,,GoldenEye 007,2005,3,2005-03
495,B00000DMAT,A1N5HY0IRBM92R,"[1, 30]",1,2013-04-17,1,30,3.0,Nintendo 64 Games,,GoldenEye 007,2013,4,2013-04
496,B00000DMAT,A2USAZNAK5EE1J,"[0, 0]",5,2002-11-25,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,11,2002-11
501,B00000DMAT,AZAC7B4HD5ZVC,"[2, 2]",5,2009-10-13,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2009,10,2009-10
502,B00000DMAT,A27PPRSOP91J1B,"[0, 1]",5,2014-04-17,0,1,,Nintendo 64 Games,,GoldenEye 007,2014,4,2014-04
503,B00000DMAT,ADB8XCKNSDY5Z,"[1, 2]",4,2005-07-10,1,2,50.0,Nintendo 64 Games,,GoldenEye 007,2005,7,2005-07
506,B00000DMAT,A3AJNDE9SUWNO4,"[3, 3]",5,2001-11-09,3,3,100.0,Nintendo 64 Games,,GoldenEye 007,2001,11,2001-11
507,B00000DMAT,A35L2E8M7S59MQ,"[3, 3]",5,2009-03-30,3,3,100.0,Nintendo 64 Games,,GoldenEye 007,2009,3,2009-03
508,B00000DMAT,A3MCIFXE7SNAX8,"[0, 0]",5,2002-08-07,0,0,,Nintendo 64 Games,,GoldenEye 007,2002,8,2002-08
509,B00000DMAT,AM41P9Q1GFC7O,"[2, 2]",5,2003-05-02,2,2,100.0,Nintendo 64 Games,,GoldenEye 007,2003,5,2003-05
535,B00000DMAX,A1LBAC84TLIGAX,"[1, 1]",5,2007-11-22,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2007,11,2007-11
536,B00000DMAX,AMP7TQRWAIE84,"[1, 1]",5,2007-09-29,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2007,9,2007-09
537,B00000DMAX,A3A1E05J5PXADW,"[0, 0]",5,2013-12-31,0,0,,Nintendo 64 Games,,Mario Kart 64,2013,12,2013-12
538,B00000DMAX,A2AV2TR28DGSGC,"[2, 3]",5,2000-11-28,2,3,67.0,Nintendo 64 Games,,Mario Kart 64,2000,11,2000-11
539,B00000DMAX,A1ZPVW0WXNJ3YZ,"[0, 0]",5,2005-05-30,0,0,,Nintendo 64 Games,,Mario Kart 64,2005,5,2005-05
542,B00000DMAX,A2II09GQGWOMTQ,"[1, 1]",5,2011-02-01,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2011,2,2011-02
546,B00000DMAX,AQAMD65HGUGMO,"[2, 2]",5,2001-07-16,2,2,100.0,Nintendo 64 Games,,Mario Kart 64,2001,7,2001-07
549,B00000DMAX,AWG2O9C42XW5G,"[0, 0]",5,2006-05-16,0,0,,Nintendo 64 Games,,Mario Kart 64,2006,5,2006-05
550,B00000DMAX,A3Q0TQB5EDQ01N,"[2, 2]",4,2001-08-23,2,2,100.0,Nintendo 64 Games,,Mario Kart 64,2001,8,2001-08
551,B00000DMAX,A9L4AQU51UF2D,"[2, 2]",4,2005-12-06,2,2,100.0,Nintendo 64 Games,,Mario Kart 64,2005,12,2005-12
554,B00000DMAX,AOYQR2530QCDX,"[24, 27]",5,2002-05-11,24,27,89.0,Nintendo 64 Games,,Mario Kart 64,2002,5,2002-05
555,B00000DMAX,A2FTRJ6NYCW8N8,"[0, 0]",5,2007-03-24,0,0,,Nintendo 64 Games,,Mario Kart 64,2007,3,2007-03
556,B00000DMAX,A2C66ZWC2V5FES,"[0, 0]",5,2012-10-19,0,0,,Nintendo 64 Games,,Mario Kart 64,2012,10,2012-10
557,B00000DMAX,A37DLVPKJZGSQF,"[1, 2]",4,2001-07-20,1,2,50.0,Nintendo 64 Games,,Mario Kart 64,2001,7,2001-07
558,B00000DMAX,ANS7PVYBOXVGO,"[0, 0]",4,2012-07-22,0,0,,Nintendo 64 Games,,Mario Kart 64,2012,7,2012-07
559,B00000DMAX,A2FZZUTBVXN8Q7,"[1, 1]",4,2004-03-24,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2004,3,2004-03
560,B00000DMAX,A2QVKLB1VT903K,"[1, 1]",5,2008-03-07,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2008,3,2008-03
566,B00000DMAX,A3ER878Z9WVNRO,"[0, 0]",5,2002-05-08,0,0,,Nintendo 64 Games,,Mario Kart 64,2002,5,2002-05
568,B00000DMAX,A2WA8R7ZNUHZMA,"[0, 2]",5,2004-07-13,0,2,,Nintendo 64 Games,,Mario Kart 64,2004,7,2004-07
569,B00000DMAX,A1XUKDQJYFFJZV,"[0, 0]",5,2013-07-06,0,0,,Nintendo 64 Games,,Mario Kart 64,2013,7,2013-07
570,B00000DMAX,A1ZCO2VVV5LSTJ,"[0, 0]",5,2012-06-15,0,0,,Nintendo 64 Games,,Mario Kart 64,2012,6,2012-06
575,B00000DMAX,A370Z6I5GBWU44,"[1, 1]",5,2011-03-29,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2011,3,2011-03
577,B00000DMAX,A3B9QABFEA2VKD,"[0, 0]",5,2003-11-20,0,0,,Nintendo 64 Games,,Mario Kart 64,2003,11,2003-11
578,B00000DMAX,A3W4D8XOGLWUN5,"[5, 6]",5,2002-10-23,5,6,83.0,Nintendo 64 Games,,Mario Kart 64,2002,10,2002-10
579,B00000DMAX,ANAYSRE3LX8GZ,"[1, 2]",3,2005-07-20,1,2,50.0,Nintendo 64 Games,,Mario Kart 64,2005,7,2005-07
581,B00000DMAX,A1OZ5AQ5A0N9YO,"[0, 0]",5,2003-08-11,0,0,,Nintendo 64 Games,,Mario Kart 64,2003,8,2003-08
583,B00000DMAX,APS7IH14C8AZ9,"[1, 1]",4,2009-06-24,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2009,6,2009-06
586,B00000DMAX,A24M1DAMRGDL,"[2, 2]",5,2004-03-27,2,2,100.0,Nintendo 64 Games,,Mario Kart 64,2004,3,2004-03
590,B00000DMAX,A3IBXED14SKZ8Y,"[1, 5]",3,2004-11-14,1,5,20.0,Nintendo 64 Games,,Mario Kart 64,2004,11,2004-11
591,B00000DMAX,A2TCG2HV1VJP6V,"[1, 1]",5,2010-11-27,1,1,100.0,Nintendo 64 Games,,Mario Kart 64,2010,11,2010-11
593,B00000DMAX,A21LSWE2W9O9DQ,"[0, 3]",1,2014-02-07,0,3,,Nintendo 64 Games,,Mario Kart 64,2014,2,2014-02
595,B00000DMAX,ADB8XCKNSDY5Z,"[0, 1]",5,2005-07-10,0,1,,Nintendo 64 Games,,Mario Kart 64,2005,7,2005-07
597,B00000DMAX,A3O3GOAX3NXZAV,"[0, 0]",5,2012-11-09,0,0,,Nintendo 64 Games,,Mario Kart 64,2012,11,2012-11
599,B00000DMAX,AQNALR9ZBBML4,"[0, 0]",4,2003-10-19,0,0,,Nintendo 64 Games,,Mario Kart 64,2003,10,2003-10
623,B00000DMB3,AOXX0U2T2BGYM,"[0, 0]",5,2009-07-31,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2009,7,2009-07
625,B00000DMB3,A3NLI44GQY8K48,"[0, 0]",5,2011-05-22,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2011,5,2011-05
626,B00000DMB3,A31RM5QU797HPJ,"[10, 15]",5,2002-04-10,10,15,67.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,4,2002-04
629,B00000DMB3,A2N1C9JKI2C5XD,"[1, 3]",4,2002-07-01,1,3,33.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,7,2002-07
630,B00000DMB3,ABSX5TGEGRH76,"[10, 12]",5,2002-03-10,10,12,83.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,3,2002-03
635,B00000DMB3,A1R602SXNGOMJ4,"[0, 1]",4,2002-11-28,0,1,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,11,2002-11
637,B00000DMB3,A2582KMXLK2P06,"[0, 8]",2,2013-07-26,0,8,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2013,7,2013-07
638,B00000DMB3,A2HPUBAJYTJKLP,"[0, 0]",5,2001-04-25,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2001,4,2001-04
639,B00000DMB3,A1IAQOSPATLKWO,"[1, 2]",5,2008-12-14,1,2,50.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2008,12,2008-12
640,B00000DMB3,A1AO33ME22E7YT,"[0, 0]",5,2004-01-18,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,1,2004-01
645,B00000DMB3,AXKUY7QPRRB2W,"[0, 0]",5,2014-04-24,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2014,4,2014-04
646,B00000DMB3,A2II09GQGWOMTQ,"[2, 2]",5,2011-01-17,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2011,1,2011-01
648,B00000DMB3,A1W6C5JU6VZSI5,"[0, 3]",5,2005-06-12,0,3,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2005,6,2005-06
650,B00000DMB3,A2OUKHGJ85XN4U,"[2, 2]",5,2013-11-06,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2013,11,2013-11
656,B00000DMB3,A1AISPOIIHTHXX,"[2, 2]",5,2002-10-10,2,2,100.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2002,10,2002-10
659,B00000DMB3,A22TL53EPV6LII,"[3, 5]",5,2006-03-10,3,5,60.0,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2006,3,2006-03
661,B00000DMB3,A2DX5Z1OZKUB8P,"[0, 0]",5,2004-11-22,0,0,,Nintendo 64 Games,,The Legend of Zelda: Ocarina of Time,2004,11,2004-11
